policy,repository,metric,label,precision,recall,f1,support,true_label,predicted_label,value
leakage_sensitive,tensorflow/tensorflow,confusion,,,,,,question,feature,10
leakage_sensitive,tensorflow/tensorflow,confusion,,,,,,question,question,69
leakage_sensitive,__global__,class,bug,0.7977109389342247,0.7536767676767677,0.7712652326086079,499,,,
leakage_sensitive,__global__,class,feature,0.7616138558987716,0.811673469387755,0.7822247475641971,498,,,
leakage_sensitive,__global__,class,question,0.7201986871699416,0.704,0.710436122674946,500,,,
leakage_sensitive,__global__,macro,,0.7598411606676461,0.7564500790215075,0.7546420342825837,1497,,,
leakage_sensitive,__global__,micro,,0.7561790247160989,0.7561790247160989,0.7561790247160989,1497,,,
leakage_sensitive,__global__,confusion,,,,,,bug,bug,376
leakage_sensitive,__global__,confusion,,,,,,bug,feature,42
leakage_sensitive,__global__,confusion,,,,,,bug,question,81
leakage_sensitive,__global__,confusion,,,,,,feature,bug,36
leakage_sensitive,__global__,confusion,,,,,,feature,feature,404
leakage_sensitive,__global__,confusion,,,,,,feature,question,58
leakage_sensitive,__global__,confusion,,,,,,question,bug,59
leakage_sensitive,__global__,confusion,,,,,,question,feature,89
leakage_sensitive,__global__,confusion,,,,,,question,question,352
primary,bitcoin/bitcoin,class,bug,0.7702702702702703,0.57,0.6551724137931034,100,,,
primary,bitcoin/bitcoin,class,feature,0.7398373983739838,0.91,0.8161434977578476,100,,,
primary,bitcoin/bitcoin,class,question,0.6213592233009708,0.64,0.6305418719211823,100,,,
primary,bitcoin/bitcoin,macro,,0.7104889639817417,0.7066666666666667,0.7006192611573777,300,,,
primary,bitcoin/bitcoin,micro,,0.7066666666666667,0.7066666666666667,0.7066666666666667,300,,,
primary,bitcoin/bitcoin,confusion,,,,,,bug,bug,57
primary,bitcoin/bitcoin,confusion,,,,,,bug,feature,9
primary,bitcoin/bitcoin,confusion,,,,,,bug,question,34
primary,bitcoin/bitcoin,confusion,,,,,,feature,bug,4
primary,bitcoin/bitcoin,confusion,,,,,,feature,feature,91
primary,bitcoin/bitcoin,confusion,,,,,,feature,question,5
primary,bitcoin/bitcoin,confusion,,,,,,question,bug,13
primary,bitcoin/bitcoin,confusion,,,,,,question,feature,23
primary,bitcoin/bitcoin,confusion,,,,,,question,question,64
primary,facebook/react,class,bug,0.9207920792079208,0.93,0.9253731343283582,100,,,
primary,facebook/react,class,feature,0.7288135593220338,0.86,0.7889908256880734,100,,,
primary,facebook/react,class,question,0.7901234567901234,0.64,0.7071823204419889,100,,,
primary,facebook/react,macro,,0.8132430317733593,0.81,0.8071820934861402,300,,,
primary,facebook/react,micro,,0.81,0.81,0.81,300,,,
primary,facebook/react,confusion,,,,,,bug,bug,93
primary,facebook/react,confusion,,,,,,bug,feature,2
primary,facebook/react,confusion,,,,,,bug,question,5
